Food_Group,Food_Name,Quantity (g),Energy (Kcal),Protein (g),Fat (g),Iron (mg),Calcium (mg),Zinc (mg), Folates (µg),Cost
Cereals,Jowar,100,334.13,7.88,1.73,3.95,27.6,1.96,39.42,4.5
Cereals,Ragi,100,320.75,4.87,1.92,4.62,364,2.53,34.66,3.5
Cereals,Wheat,100,321.94,8.37,1.47,3.97,39.36,2.85,30.09,2.2
Cereals,Wheat flour Atta,100,320.27,8.35,1.53,4.1,30.94,2.85,30.09,2.8
Cereals,Wheat Broken,100,341.78,8.56,1.45,3.86,27.09,1.97,26.3,2.5
Cereals,Maize,100,334.13,5.98,3.77,2.49,8.91,2.27,25.81,2
Cereals,Rava,100,333.65,8.99,0.74,2.98,29.38,2.13,25.68,0.475
Cereals,Rice,100,356.36,6.27,0.52,0.65,7.49,1.21,9.32,0.7
Egg,Egg,100,134.8,11.55,9.15,1.82,49.44,1.23,49.32,8
Fruits,Banana,100,105.16,1.23,0.33,0.28,5.07,0.14,16.81,2
Nuts,Ground nut,100,520.08,23.65,39.63,3.44,54,3.18,90.87,10.275
Oil,Ghee,100,900,0,100,0,0,0,0,40
Oil,Oil,100,900,0,100,0,0,0,0,5
Pulses,Rajma Red (Kidney beans),100,299.24,12.94,1.77,6.13,126,2.69,316,8.8
Pulses,Soya bean (Brown),100,381.45,23.13,19.82,8.29,239,4.01,297,7.5
Pulses,Soya bean (White),100,377.39,24.57,19.42,8.22,195,3.47,288,7.5
Pulses,Bengal Gram (Channa dal),100,329.1,12.93,5.31,6.08,46.32,3.65,182,7.1
Pulses,Black Gram (Urad dal),100,291.35,13.18,1.58,5.97,86.18,3.05,134,9
Pulses,Yellow Lentil (Mung dal),100,297.8,14.87,0.61,7.91,76.66,3.31,121,8.5
Pulses,Peas,100,303.3,13.28,1.89,5.09,75.11,3.1,110,7.5
Pulses,Red Gram (Arhar dal)(Toor dal),100,330.78,14.11,1.56,3.9,71.73,2.63,108,6.5
Pulses,Green Gram (Moong dal),100,325.77,15.52,1.35,3.93,43.13,2.49,92.11,8.8
Pulses,Red Lentil (Masoor dal),100,322.42,15.83,0.75,7.06,44.32,3.61,49.99,8
Sugar,Jaggery,100,353.73,1.85,0.16,4.63,107,0.45,14.4,4
Sugar,Sugar,100,400,0,0,0,0,0,0,4
